Slice,Count,Total Area,Average Size,%Area
01.jpg,39,21110,541.28205,0.04203
01.jpg,13,8954,688.76923,0.05373
01.jpg,15,7113,474.20000,0.04180
01.jpg,11,5043,458.45455,0.03050
02.jpg,57,29135,511.14035,0.07057
02.jpg,18,7324,406.88889,0.06765
02.jpg,24,14291,595.45833,0.08836
02.jpg,15,7520,501.33333,0.05266
03.jpg,35,35689,1019.68571,0.07264
03.jpg,12,12319,1026.58333,0.07435
03.jpg,7,9974,1424.85714,0.06370
03.jpg,16,13552,847.00000,0.08013
04.jpg,53,31731,598.69811,0.06206
04.jpg,14,10075,719.64286,0.05747
04.jpg,18,12235,679.72222,0.07304
04.jpg,22,9421,428.22727,0.05591
05.jpg,11,5161,469.18182,0.01035
05.jpg,6,2834,472.33333,0.01757
05.jpg,3,1095,365.00000,0.00660
05.jpg,2,1232,616.00000,0.00719
06.jpg,8,6834,854.25000,0.01355
06.jpg,4,4076,1019.00000,0.02584
06.jpg,2,1980,990.00000,0.01154
06.jpg,2,778,389.00000,0.00444
07.jpg,8,4903,612.87500,0.01031
07.jpg,3,1533,511.00000,0.01072
07.jpg,2,908,454.00000,0.00534
07.jpg,3,2462,820.66667,0.01512
08.jpg,11,5260,478.18182,0.01006
08.jpg,3,1109,369.66667,0.00631
08.jpg,4,2717,679.25000,0.01528
08.jpg,4,1434,358.50000,0.00848
09.jpg,13,7802,600.15385,0.01504
09.jpg,6,2441,406.83333,0.01427
09.jpg,3,1058,352.66667,0.00603
09.jpg,4,4303,1075.75000,0.02493
10.jpg,42,37784,899.61905,0.09052
10.jpg,10,7858,785.80000,0.06209
10.jpg,9,10523,1169.22222,0.08552
10.jpg,23,19426,844.60870,0.11574
11.jpg,59,44287,750.62712,0.08342
11.jpg,9,4237,470.77778,0.02414
11.jpg,13,9463,727.92308,0.05316
11.jpg,37,30587,826.67568,0.17237
12.jpg,37,26706,721.78378,0.05109
12.jpg,8,3837,479.62500,0.02231
12.jpg,10,5318,531.80000,0.03037
12.jpg,19,17502,921.15789,0.09962
13.jpg,58,68724,1184.89655,0.13203
13.jpg,22,27585,1253.86364,0.15986
13.jpg,10,7863,786.30000,0.04432
13.jpg,26,33195,1276.73077,0.19443
14.jpg,87,72181,829.66667,0.14186
14.jpg,28,16286,581.64286,0.09725
14.jpg,24,24815,1033.95833,0.15085
14.jpg,34,30711,903.26471,0.17363
15.jpg,117,160462,1371.47009,0.31789
15.jpg,25,29329,1173.16000,0.19721
15.jpg,45,73122,1624.93333,0.40288
15.jpg,46,57512,1250.26087,0.32942
16.jpg,15,13132,875.46667,0.02470
16.jpg,2,1355,677.50000,0.00762
16.jpg,4,5708,1427.00000,0.03205
16.jpg,9,6069,674.33333,0.03455
17.jpg,69,64993,941.92754,0.12233
17.jpg,20,17567,878.35000,0.09980
17.jpg,25,24950,998.00000,0.13899
17.jpg,24,22386,932.75000,0.12738
18.jpg,80,85348,1066.85000,0.16047
18.jpg,33,34722,1052.18182,0.19606
18.jpg,24,24059,1002.45833,0.13482
18.jpg,24,26655,1110.62500,0.15111
19.jpg,42,37426,891.09524,0.07184
19.jpg,10,11207,1120.70000,0.06363
19.jpg,12,10744,895.33333,0.06161
19.jpg,20,15437,771.85000,0.09060
20.jpg,42,32064,763.42857,0.06204
20.jpg,12,9827,818.91667,0.05779
20.jpg,10,9565,956.50000,0.05492
20.jpg,20,12672,633.60000,0.07340
21.jpg,16,11581,723.81250,0.02239
21.jpg,4,4312,1078.00000,0.02494
21.jpg,7,3190,455.71429,0.01843
21.jpg,5,4070,814.00000,0.02375
22.jpg,5,4459,891.80000,0.00859
22.jpg,3,1853,617.66667,0.01074
22.jpg,2,2606,1303.00000,0.01503
22.jpg,0,0,NaN,0.00000
23.jpg,3,1172,390.66667,0.00231
23.jpg,1,435,435.00000,0.00258
23.jpg,1,413,413.00000,0.00242
23.jpg,1,324,324.00000,0.00192
24.jpg,12,5659,471.58333,0.01138
24.jpg,4,1529,382.25000,0.00913
24.jpg,6,3181,530.16667,0.01901
24.jpg,2,949,474.50000,0.00585
25.jpg,2,930,465.00000,0.00182
25.jpg,0,0,NaN,0.00000
25.jpg,1,553,553.00000,0.00315
25.jpg,0,0,NaN,0.00000
26.jpg,4,2330,582.50000,0.00493
26.jpg,3,1792,597.33333,0.01135
26.jpg,1,538,538.00000,0.00333
26.jpg,0,0,NaN,0.00000
27.jpg,6,4860,810.00000,0.00933
27.jpg,3,1071,357.00000,0.00599
27.jpg,2,3128,1564.00000,0.01828
27.jpg,1,661,661.00000,0.00387
28.jpg,5,2604,520.80000,0.00513
28.jpg,2,1042,521.00000,0.00636
28.jpg,2,1116,558.00000,0.00622
28.jpg,1,446,446.00000,0.00271
29.jpg,3,2054,684.66667,0.00402
29.jpg,3,2054,684.66667,0.01178
29.jpg,0,0,NaN,0.00000
29.jpg,0,0,NaN,0.00000
30.jpg,2,749,374.50000,0.00151
30.jpg,0,0,NaN,0.00000
30.jpg,1,361,361.00000,0.00222
30.jpg,1,388,388.00000,0.00229
31.jpg,3,1164,388.00000,0.00219
31.jpg,1,362,362.00000,0.00208
31.jpg,1,308,308.00000,0.00172
31.jpg,1,494,494.00000,0.00276
32.jpg,2,1408,704.00000,0.00275
32.jpg,1,638,638.00000,0.00387
32.jpg,0,0,NaN,0.00000
32.jpg,1,770,770.00000,0.00441
33.jpg,5,9024,1804.80000,0.01760
33.jpg,2,948,474.00000,0.00556
33.jpg,2,7349,3674.50000,0.04278
33.jpg,1,727,727.00000,0.00426
34.jpg,1,306,306.00000,0.00059
34.jpg,1,306,306.00000,0.00177
34.jpg,0,0,NaN,0.00000
34.jpg,0,0,NaN,0.00000
35.jpg,6,3450,575.00000,0.00681
35.jpg,3,2127,709.00000,0.01273
