Slice,Count,Total Area,Average Size,%Area
46.jpg,48,7322,152.54167,0.04105
46.jpg,66,13093,198.37879,0.07287
46.jpg,119,13708,115.19328,0.07805
47.jpg,377,73670,195.41114,0.14091
47.jpg,109,20154,184.89908,0.11617
47.jpg,130,25821,198.62308,0.14505
47.jpg,138,27632,200.23188,0.16125
48.jpg,337,65073,193.09496,0.12806
48.jpg,111,18582,167.40541,0.11332
48.jpg,119,22374,188.01681,0.13060
48.jpg,107,24101,225.24299,0.13952
