Slice,Count,Total Area,Average Size,%Area
01.jpg,97,15121,155.88660,0.02904
01.jpg,36,5518,153.27778,0.03212
01.jpg,27,3556,131.70370,0.02006
01.jpg,34,5997,176.38235,0.03494
02.jpg,86,14117,164.15116,0.02712
02.jpg,22,3495,158.86364,0.02035
02.jpg,33,4864,147.39394,0.02717
02.jpg,31,5758,185.74194,0.03390
03.jpg,97,19640,202.47423,0.03742
03.jpg,38,6857,180.44737,0.03902
03.jpg,34,9399,276.44118,0.05300
03.jpg,25,3384,135.36000,0.01970
04.jpg,63,12203,193.69841,0.02319
04.jpg,19,3482,183.26316,0.02011
04.jpg,27,5859,217.00000,0.03312
04.jpg,18,2862,159.00000,0.01624
05.jpg,81,28220,348.39506,0.05405
05.jpg,33,5245,158.93939,0.03015
05.jpg,26,19417,746.80769,0.11019
05.jpg,22,3558,161.72727,0.02070
06.jpg,79,17192,217.62025,0.03278
06.jpg,27,4830,178.88889,0.02776
06.jpg,26,3913,150.50000,0.02217
06.jpg,25,8312,332.48000,0.04778
07.jpg,161,23183,143.99379,0.04384
07.jpg,48,7292,151.91667,0.04191
07.jpg,67,9958,148.62687,0.05594
07.jpg,46,5933,128.97826,0.03356
08.jpg,54,7903,146.35185,0.01528
08.jpg,19,2681,141.10526,0.01568
08.jpg,22,3004,136.54545,0.01739
08.jpg,13,2168,166.76923,0.01250
09.jpg,85,15045,177.00000,0.02929
09.jpg,29,5183,178.72414,0.03083
09.jpg,19,3741,196.89474,0.02174
09.jpg,36,5990,166.38889,0.03453
10.jpg,60,9995,166.58333,0.02000
10.jpg,17,2794,164.35294,0.01665
10.jpg,20,3461,173.05000,0.02044
10.jpg,23,3740,162.60870,0.02303
11.jpg,82,14170,172.80488,0.02676
11.jpg,21,4207,200.33333,0.02373
11.jpg,34,6031,177.38235,0.03380
11.jpg,26,3828,147.23077,0.02204
12.jpg,96,15537,161.84375,0.03041
12.jpg,41,5795,141.34146,0.03495
12.jpg,22,3424,155.63636,0.01982
12.jpg,33,6318,191.45455,0.03667
13.jpg,77,12745,165.51948,0.02367
13.jpg,35,5385,153.85714,0.03005
13.jpg,18,2697,149.83333,0.01487
13.jpg,24,4663,194.29167,0.02620
14.jpg,109,23272,213.50459,0.04327
14.jpg,33,6924,209.81818,0.03869
14.jpg,38,8638,227.31579,0.04783
14.jpg,38,7713,202.97368,0.04326
15.jpg,94,20886,222.19149,0.04320
15.jpg,37,7031,190.02703,0.04124
15.jpg,31,8030,259.03226,0.05643
15.jpg,26,5814,223.61538,0.03407
16.jpg,99,15616,157.73737,0.03042
16.jpg,36,5464,151.77778,0.03169
16.jpg,31,5248,169.29032,0.03025
16.jpg,32,4889,152.78125,0.02919
17.jpg,81,13569,167.51852,0.02643
17.jpg,29,4953,170.79310,0.02851
17.jpg,24,3878,161.58333,0.02224
17.jpg,27,4617,171.00000,0.02794
18.jpg,122,25805,211.51639,0.04934
18.jpg,42,9877,235.16667,0.05761
18.jpg,37,6646,179.62162,0.03759
18.jpg,44,9267,210.61364,0.05304
19.jpg,88,16759,190.44318,0.03306
19.jpg,35,8363,238.94286,0.05067
19.jpg,30,4819,160.63333,0.02838
19.jpg,23,3591,156.13043,0.02088
20.jpg,86,13756,159.95349,0.02663
