Slice,Count,Total Area,Average Size,%Area
01.jpg,90,16097,178.85556,0.03320
01.jpg,28,4578,163.50000,0.02994
01.jpg,29,5675,195.68966,0.03412
01.jpg,33,5844,177.09091,0.03531
02.jpg,62,11649,187.88710,0.02320
02.jpg,26,4732,182.00000,0.02831
02.jpg,14,2771,197.92857,0.01627
02.jpg,22,4146,188.45455,0.02519
03.jpg,58,12613,217.46552,0.02459
03.jpg,25,5222,208.88000,0.02943
03.jpg,18,4317,239.83333,0.02528
03.jpg,15,3074,204.93333,0.01867
04.jpg,63,17654,280.22222,0.03411
04.jpg,20,9952,497.60000,0.05888
04.jpg,21,3920,186.66667,0.02258
04.jpg,22,3758,170.81818,0.02150
05.jpg,79,13779,174.41772,0.02841
05.jpg,26,4808,184.92308,0.02980
05.jpg,23,3719,161.69565,0.02244
05.jpg,30,5252,175.06667,0.03326
06.jpg,63,11693,185.60317,0.02262
06.jpg,20,3514,175.70000,0.02072
06.jpg,24,5147,214.45833,0.02919
06.jpg,18,2889,160.50000,0.01687
07.jpg,91,14708,161.62637,0.02889
07.jpg,31,5116,165.03226,0.03059
07.jpg,29,4424,152.55172,0.02566
07.jpg,31,5168,166.70968,0.03048
08.jpg,113,19228,170.15929,0.03735
08.jpg,38,7050,185.52632,0.04114
08.jpg,33,5866,177.75758,0.03391
08.jpg,42,6312,150.28571,0.03704
09.jpg,113,19438,172.01770,0.03889
09.jpg,41,6602,161.02439,0.04051
09.jpg,36,6422,178.38889,0.03792
09.jpg,36,6414,178.16667,0.03830
10.jpg,134,21484,160.32836,0.04231
10.jpg,35,5306,151.60000,0.03137
10.jpg,37,5653,152.78378,0.03316
10.jpg,62,10525,169.75806,0.06258
11.jpg,128,20111,157.11719,0.04137
11.jpg,28,4089,146.03571,0.02503
11.jpg,44,7106,161.50000,0.04456
11.jpg,56,8916,159.21429,0.05458
12.jpg,123,25692,208.87805,0.05393
12.jpg,38,11647,306.50000,0.07167
12.jpg,44,7164,162.81818,0.04397
12.jpg,41,6881,167.82927,0.04559
13.jpg,107,23961,223.93458,0.04720
13.jpg,43,9995,232.44186,0.05689
13.jpg,45,8325,185.00000,0.04855
13.jpg,19,5641,296.89474,0.03512
14.jpg,91,28281,310.78022,0.05423
14.jpg,28,5221,186.46429,0.02971
14.jpg,31,14741,475.51613,0.08386
14.jpg,32,8257,258.03125,0.04856
15.jpg,91,24436,268.52747,0.04770
15.jpg,29,4944,170.48276,0.02967
15.jpg,33,7434,225.27273,0.04267
15.jpg,29,11951,412.10345,0.06976
16.jpg,117,22640,193.50427,0.04633
16.jpg,39,6358,163.02564,0.03802
16.jpg,44,10212,232.09091,0.05952
16.jpg,34,6070,178.52941,0.04047
17.jpg,106,21558,203.37736,0.04107
17.jpg,37,8133,219.81081,0.04717
17.jpg,36,7041,195.58333,0.03918
17.jpg,33,6384,193.45455,0.03694
18.jpg,119,28158,236.62185,0.05837
18.jpg,40,6167,154.17500,0.03862
18.jpg,36,6071,168.63889,0.03699
18.jpg,43,15986,371.76744,0.10074
19.jpg,91,17154,188.50549,0.03404
19.jpg,24,3966,165.25000,0.02355
19.jpg,31,6673,215.25806,0.04001
19.jpg,36,6515,180.97222,0.03865
20.jpg,100,18454,184.54000,0.03676
20.jpg,34,5640,165.88235,0.03382
20.jpg,32,4919,153.71875,0.02876
20.jpg,34,7895,232.20588,0.04808
21.jpg,107,18661,174.40187,0.03600
21.jpg,35,5593,159.80000,0.03301
21.jpg,38,7300,192.10526,0.04215
21.jpg,33,5641,170.93939,0.03212
22.jpg,145,25419,175.30345,0.05004
22.jpg,55,10288,187.05455,0.06002
22.jpg,38,6585,173.28947,0.03850
22.jpg,52,8572,164.84615,0.05178
23.jpg,101,17039,168.70297,0.03498
23.jpg,40,6800,170.00000,0.04091
23.jpg,34,5750,169.11765,0.03379
23.jpg,27,4482,166.00000,0.02976
24.jpg,97,17577,181.20619,0.03499
24.jpg,22,4254,193.36364,0.02526
24.jpg,26,4068,156.46154,0.02404
24.jpg,49,9230,188.36735,0.05603
25.jpg,17,3451,203.00000,0.00694
25.jpg,7,1670,238.57143,0.01014
25.jpg,4,708,177.00000,0.00426
25.jpg,6,1073,178.83333,0.00644
26.jpg,43,10940,254.41860,0.02112
26.jpg,22,3939,179.04545,0.02305
26.jpg,8,5074,634.25000,0.02890
26.jpg,13,1927,148.23077,0.01122
27.jpg,25,5571,222.84000,0.01093
27.jpg,13,3003,231.00000,0.01776
27.jpg,5,846,169.20000,0.00494
27.jpg,7,1722,246.00000,0.01017
28.jpg,27,5059,187.37037,0.00960
28.jpg,8,1390,173.75000,0.00803
28.jpg,12,2590,215.83333,0.01456
28.jpg,7,1079,154.14286,0.00614
29.jpg,22,8721,396.40909,0.01700
29.jpg,7,4322,617.42857,0.02566
29.jpg,12,3142,261.83333,0.01808
29.jpg,3,1257,419.00000,0.00735
30.jpg,39,7877,201.97436,0.01584
30.jpg,11,2036,185.09091,0.01254
30.jpg,11,2304,209.45455,0.01370
30.jpg,17,3537,208.05882,0.02121
31.jpg,43,7943,184.72093,0.01518
31.jpg,16,2984,186.50000,0.01712
31.jpg,13,2421,186.23077,0.01371
31.jpg,14,2538,181.28571,0.01471
32.jpg,30,4755,158.50000,0.00925
32.jpg,13,1871,143.92308,0.01106
32.jpg,7,1146,163.71429,0.00658
32.jpg,10,1738,173.80000,0.01019
33.jpg,94,16927,180.07447,0.03201
33.jpg,37,7158,193.45946,0.04087
33.jpg,23,4602,200.08696,0.02560
33.jpg,34,5163,151.85294,0.02970
34.jpg,175,33555,191.74286,0.06344
34.jpg,54,11610,215.00000,0.07183
34.jpg,65,12734,195.90769,0.06882
34.jpg,55,9094,165.34545,0.04989
35.jpg,59,10720,181.69492,0.02013
35.jpg,26,5337,205.26923,0.03042
35.jpg,17,2638,155.17647,0.01467
35.jpg,16,2745,171.56250,0.01547
36.jpg,115,21000,182.60870,0.04053
36.jpg,49,8965,182.95918,0.05108
36.jpg,34,6212,182.70588,0.03494
36.jpg,33,5765,174.69697,0.03502
37.jpg,25,8106,324.24000,0.01640
37.jpg,5,595,119.00000,0.00380
37.jpg,9,1956,217.33333,0.01158
37.jpg,11,5555,505.00000,0.03291
38.jpg,26,5408,208.00000,0.01146
38.jpg,12,3653,304.41667,0.02141
38.jpg,9,1153,128.11111,0.00703
38.jpg,5,602,120.40000,0.00438
39.jpg,59,9831,166.62712,0.01903
39.jpg,20,2991,149.55000,0.01729
39.jpg,18,3694,205.22222,0.02124
39.jpg,21,3146,149.80952,0.01855
40.jpg,46,8326,181.00000,0.01648
40.jpg,17,2497,146.88235,0.01495
40.jpg,14,3085,220.35714,0.01816
40.jpg,15,2744,182.93333,0.01630
41.jpg,45,7284,161.86667,0.01477
41.jpg,16,2642,165.12500,0.01643
41.jpg,17,2635,155.00000,0.01576
41.jpg,12,2007,167.25000,0.01216
42.jpg,68,11339,166.75000,0.02265
42.jpg,20,4147,207.35000,0.02531
42.jpg,14,2283,163.07143,0.01360
42.jpg,34,4909,144.38235,0.02907
43.jpg,46,11709,254.54348,0.02253
43.jpg,6,814,135.66667,0.00467
43.jpg,22,5690,258.63636,0.03168
43.jpg,18,5205,289.16667,0.03136
44.jpg,122,19844,162.65574,0.04108
44.jpg,42,5874,139.85714,0.03644
44.jpg,45,6651,147.80000,0.04053
44.jpg,35,7319,209.11429,0.04643
45.jpg,102,17171,168.34314,0.03294
45.jpg,29,5311,183.13793,0.03072
45.jpg,31,4700,151.61290,0.02661
45.jpg,42,7160,170.47619,0.04169
46.jpg,101,18966,187.78218,0.03810
46.jpg,36,5844,162.33333,0.03407
46.jpg,34,7232,212.70588,0.04190
46.jpg,32,5999,187.46875,0.03904
47.jpg,103,16456,159.76699,0.03349
47.jpg,33,5417,164.15152,0.03346
47.jpg,35,5794,165.54286,0.03596
47.jpg,35,5222,149.20000,0.03105
48.jpg,107,21259,198.68224,0.04017
48.jpg,44,11486,261.04545,0.06491
48.jpg,30,4307,143.56667,0.02405
48.jpg,33,5466,165.63636,0.03155
