Slice,Count,Total Area,Average Size,%Area
01.jpg,14,11884,848.85714,0.02313
01.jpg,5,2794,558.80000,0.01593
01.jpg,3,5489,1829.66667,0.03098
01.jpg,6,3601,600.16667,0.02237
02.jpg,18,10306,572.55556,0.01891
02.jpg,9,5763,640.33333,0.03205
02.jpg,4,1835,458.75000,0.00991
02.jpg,5,2708,541.60000,0.01505
03.jpg,12,8876,739.66667,0.01686
03.jpg,2,2621,1310.50000,0.01472
03.jpg,5,4048,809.60000,0.02293
03.jpg,5,2207,441.40000,0.01283
04.jpg,4,3301,825.25000,0.00632
04.jpg,0,0,NaN,0.00000
04.jpg,2,845,422.50000,0.00477
04.jpg,2,2456,1228.00000,0.01403
05.jpg,11,5847,531.54545,0.01144
05.jpg,4,1278,319.50000,0.00756
05.jpg,5,3800,760.00000,0.02216
05.jpg,2,769,384.50000,0.00451
06.jpg,22,14824,673.81818,0.02851
06.jpg,8,8288,1036.00000,0.04802
06.jpg,7,2646,378.00000,0.01517
06.jpg,7,3890,555.71429,0.02250
07.jpg,9,8285,920.55556,0.01562
07.jpg,3,3338,1112.66667,0.01904
07.jpg,3,2767,922.33333,0.01559
07.jpg,3,2180,726.66667,0.01227
08.jpg,13,7336,564.30769,0.01367
08.jpg,6,4290,715.00000,0.02396
08.jpg,7,3046,435.14286,0.01681
08.jpg,0,0,NaN,0.00000
09.jpg,5,2543,508.60000,0.00470
09.jpg,2,980,490.00000,0.00536
09.jpg,0,0,NaN,0.00000
09.jpg,3,1563,521.00000,0.00883
10.jpg,17,13405,788.52941,0.02554
10.jpg,3,1851,617.00000,0.01052
10.jpg,7,5050,721.42857,0.02884
10.jpg,7,6504,929.14286,0.03747
11.jpg,5,1850,370.00000,0.00365
11.jpg,1,312,312.00000,0.00187
11.jpg,1,371,371.00000,0.00218
11.jpg,3,1167,389.00000,0.00686
12.jpg,5,1849,369.80000,0.00362
12.jpg,1,399,399.00000,0.00238
12.jpg,0,0,NaN,0.00000
12.jpg,4,1450,362.50000,0.00851
13.jpg,28,24381,870.75000,0.04630
13.jpg,6,4475,745.83333,0.02673
13.jpg,10,8512,851.20000,0.04735
13.jpg,12,11333,944.41667,0.06318
14.jpg,23,25176,1094.60870,0.04821
14.jpg,9,10082,1120.22222,0.05667
14.jpg,3,1163,387.66667,0.00643
14.jpg,11,13931,1266.45455,0.08535
15.jpg,33,33408,1012.36364,0.06367
15.jpg,5,5150,1030.00000,0.02995
15.jpg,9,9387,1043.00000,0.05302
15.jpg,20,18599,929.95000,0.10589
16.jpg,5,4450,890.00000,0.00827
16.jpg,0,0,NaN,0.00000
16.jpg,2,2405,1202.50000,0.01323
16.jpg,3,2045,681.66667,0.01149
17.jpg,15,13711,914.06667,0.03311
17.jpg,8,7742,967.75000,0.05563
17.jpg,2,1112,556.00000,0.00804
17.jpg,5,4857,971.40000,0.03554
18.jpg,19,19951,1050.05263,0.03739
18.jpg,3,4021,1340.33333,0.02264
18.jpg,7,7852,1121.71429,0.04311
18.jpg,9,8078,897.55556,0.04649
19.jpg,15,6532,435.46667,0.01274
19.jpg,4,1936,484.00000,0.01125
19.jpg,3,1296,432.00000,0.00743
19.jpg,8,3300,412.50000,0.01986
20.jpg,11,5794,526.72727,0.01093
20.jpg,7,2919,417.00000,0.01662
20.jpg,2,886,443.00000,0.00483
20.jpg,2,1989,994.50000,0.01164
21.jpg,24,14163,590.12500,0.02812
21.jpg,9,4921,546.77778,0.02942
21.jpg,13,5806,446.61538,0.03298
21.jpg,2,3174,1587.00000,0.01979
22.jpg,17,14090,828.82353,0.02664
22.jpg,8,5504,688.00000,0.03098
22.jpg,4,2858,714.50000,0.01591
22.jpg,5,5728,1145.60000,0.03336
23.jpg,15,8742,582.80000,0.01648
23.jpg,1,358,358.00000,0.00206
23.jpg,6,3333,555.50000,0.01867
23.jpg,8,4883,610.37500,0.02741
24.jpg,5,1991,398.20000,0.00378
24.jpg,1,304,304.00000,0.00169
24.jpg,2,720,360.00000,0.00429
24.jpg,2,842,421.00000,0.00470
25.jpg,21,12611,600.52381,0.02307
25.jpg,8,4586,573.25000,0.02538
25.jpg,8,4413,551.62500,0.02409
25.jpg,5,3599,719.80000,0.01972
26.jpg,9,4674,519.33333,0.00911
26.jpg,2,718,359.00000,0.00424
26.jpg,6,3114,519.00000,0.01790
26.jpg,1,842,842.00000,0.00496
27.jpg,28,15467,552.39286,0.02960
27.jpg,9,3717,413.00000,0.02120
27.jpg,9,7012,779.11111,0.03977
27.jpg,10,4738,473.80000,0.02773
28.jpg,20,12585,629.25000,0.02388
28.jpg,6,3879,646.50000,0.02212
28.jpg,6,2945,490.83333,0.01671
28.jpg,8,5761,720.12500,0.03282
29.jpg,20,9365,468.25000,0.01743
29.jpg,5,2771,554.20000,0.01553
