Slice,Count,Total Area,Average Size,%Area
01.jpg,105,26895,256.14286,0.05236
01.jpg,43,8538,198.55814,0.04867
01.jpg,30,10331,344.36667,0.05832
01.jpg,32,7997,249.90625,0.04968
02.jpg,87,21641,248.74713,0.03972
02.jpg,31,9142,294.90323,0.05084
02.jpg,21,4937,235.09524,0.02666
02.jpg,34,7452,219.17647,0.04143
03.jpg,73,18438,252.57534,0.03502
03.jpg,19,5516,290.31579,0.03098
03.jpg,25,6925,277.00000,0.03922
03.jpg,29,5997,206.79310,0.03485
04.jpg,61,11633,190.70492,0.02227
04.jpg,18,2671,148.38889,0.01571
04.jpg,21,3511,167.19048,0.01982
04.jpg,22,5451,247.77273,0.03113
05.jpg,44,10976,249.45455,0.02147
05.jpg,15,3047,203.13333,0.01802
05.jpg,18,5837,324.27778,0.03405
05.jpg,11,2103,191.18182,0.01232
06.jpg,81,23824,294.12346,0.04581
06.jpg,28,11411,407.53571,0.06611
06.jpg,25,5400,216.00000,0.03096
06.jpg,28,7013,250.46429,0.04057
07.jpg,72,17559,243.87500,0.03310
07.jpg,21,6147,292.71429,0.03507
07.jpg,30,6724,224.13333,0.03789
07.jpg,20,4560,228.00000,0.02567
08.jpg,81,17280,213.33333,0.03220
08.jpg,28,7481,267.17857,0.04179
08.jpg,32,6828,213.37500,0.03768
08.jpg,21,2968,141.33333,0.01682
09.jpg,46,9345,203.15217,0.01729
09.jpg,12,2476,206.33333,0.01355
09.jpg,17,3125,183.82353,0.01727
09.jpg,17,3744,220.23529,0.02116
10.jpg,82,23002,280.51220,0.04382
10.jpg,28,5534,197.64286,0.03144
10.jpg,24,7578,315.75000,0.04328
10.jpg,30,9890,329.66667,0.05697
11.jpg,48,8012,166.91667,0.01579
11.jpg,20,3234,161.70000,0.01939
11.jpg,13,2008,154.46154,0.01178
11.jpg,15,2770,184.66667,0.01628
12.jpg,68,10516,154.64706,0.02060
12.jpg,26,4134,159.00000,0.02465
12.jpg,20,2451,122.55000,0.01425
12.jpg,22,3931,178.68182,0.02307
13.jpg,135,42162,312.31111,0.08007
13.jpg,28,8059,287.82143,0.04814
13.jpg,51,15408,302.11765,0.08570
13.jpg,55,18521,336.74545,0.10326
14.jpg,113,40147,355.28319,0.07688
14.jpg,45,16338,363.06667,0.09183
14.jpg,31,5668,182.83871,0.03133
14.jpg,36,17933,498.13889,0.10986
15.jpg,106,44676,421.47170,0.08515
15.jpg,25,8367,334.68000,0.04865
15.jpg,33,13172,399.15152,0.07440
15.jpg,50,23154,463.08000,0.13182
16.jpg,84,16313,194.20238,0.03033
16.jpg,32,4897,153.03125,0.02749
16.jpg,26,5860,225.38462,0.03223
16.jpg,26,5556,213.69231,0.03122
17.jpg,85,24444,287.57647,0.05903
17.jpg,38,12277,323.07895,0.08822
17.jpg,27,4941,183.00000,0.03573
17.jpg,20,7226,361.30000,0.05288
18.jpg,129,37525,290.89147,0.07032
18.jpg,36,9131,253.63889,0.05140
18.jpg,40,13123,328.07500,0.07205
18.jpg,53,15271,288.13208,0.08788
19.jpg,94,18825,200.26596,0.03671
19.jpg,34,6882,202.41176,0.03998
19.jpg,30,5296,176.53333,0.03036
19.jpg,29,6526,225.03448,0.03927
20.jpg,94,18848,200.51064,0.03556
20.jpg,40,8428,210.70000,0.04798
20.jpg,22,3819,173.59091,0.02081
20.jpg,31,6492,209.41935,0.03799
21.jpg,113,29113,257.63717,0.05781
21.jpg,47,11834,251.78723,0.07074
21.jpg,46,11043,240.06522,0.06273
21.jpg,21,6246,297.42857,0.03895
22.jpg,127,30847,242.88976,0.05833
22.jpg,47,12017,255.68085,0.06763
22.jpg,37,7805,210.94595,0.04345
22.jpg,43,11025,256.39535,0.06421
23.jpg,100,22181,221.81000,0.04181
23.jpg,27,4474,165.70370,0.02573
23.jpg,34,7712,226.82353,0.04321
23.jpg,40,9912,247.80000,0.05564
24.jpg,42,7059,168.07143,0.01339
24.jpg,14,2240,160.00000,0.01246
24.jpg,11,1944,176.72727,0.01157
24.jpg,18,2875,159.72222,0.01604
25.jpg,101,26276,260.15842,0.04808
25.jpg,37,9652,260.86486,0.05341
25.jpg,30,8523,284.10000,0.04652
25.jpg,34,8088,237.88235,0.04431
26.jpg,60,13495,224.91667,0.02629
26.jpg,17,3323,195.47059,0.01960
26.jpg,23,6270,272.60870,0.03603
26.jpg,19,3798,199.89474,0.02236
27.jpg,119,31060,261.00840,0.05944
27.jpg,33,7740,234.54545,0.04414
27.jpg,47,13739,292.31915,0.07792
27.jpg,39,9588,245.84615,0.05612
28.jpg,122,30438,249.49180,0.05775
28.jpg,32,8551,267.21875,0.04877
28.jpg,43,9149,212.76744,0.05193
28.jpg,47,12738,271.02128,0.07258
29.jpg,93,21755,233.92473,0.04049
29.jpg,33,7561,229.12121,0.04237
29.jpg,28,6748,241.00000,0.03736
29.jpg,32,7446,232.68750,0.04179
30.jpg,75,20140,268.53333,0.03720
30.jpg,25,5194,207.76000,0.02915
30.jpg,23,8249,358.65217,0.04535
30.jpg,27,6704,248.29630,0.03696
31.jpg,164,54550,332.62195,0.10270
31.jpg,51,22720,445.49020,0.13009
31.jpg,60,17350,289.16667,0.09747
31.jpg,53,14437,272.39623,0.08096
32.jpg,147,35920,244.35374,0.06733
32.jpg,43,9684,225.20930,0.05515
32.jpg,56,13183,235.41071,0.07363
32.jpg,48,13038,271.62500,0.07297
33.jpg,245,65198,266.11429,0.12847
33.jpg,89,22127,248.61798,0.13152
33.jpg,64,20261,316.57812,0.11934
33.jpg,92,22807,247.90217,0.13462
34.jpg,264,81269,307.83712,0.15614
34.jpg,81,28634,353.50617,0.16655
34.jpg,109,27669,253.84404,0.15766
34.jpg,75,24912,332.16000,0.14403
35.jpg,220,65827,299.21364,0.12536
35.jpg,75,19241,256.54667,0.10961
35.jpg,77,28298,367.50649,0.15987
35.jpg,68,18228,268.05882,0.10554
36.jpg,198,57851,292.17677,0.11557
36.jpg,58,13961,240.70690,0.09120
36.jpg,66,18027,273.13636,0.10467
36.jpg,74,25819,348.90541,0.14733
37.jpg,59,13051,221.20339,0.02378
37.jpg,18,4269,237.16667,0.02406
37.jpg,16,4004,250.25000,0.02173
37.jpg,25,4764,190.56000,0.02548
38.jpg,79,19271,243.93671,0.03684
38.jpg,25,5272,210.88000,0.03109
38.jpg,20,7293,364.65000,0.04122
38.jpg,34,6704,197.17647,0.03801
39.jpg,133,28625,215.22556,0.05278
39.jpg,36,8024,222.88889,0.04424
39.jpg,33,5638,170.84848,0.03108
39.jpg,65,14963,230.20000,0.08336
40.jpg,66,14194,215.06061,0.02718
40.jpg,15,2506,167.06667,0.01482
40.jpg,19,4540,238.94737,0.02573
40.jpg,32,7148,223.37500,0.04047
41.jpg,126,43657,346.48413,0.08253
41.jpg,30,6857,228.56667,0.03871
41.jpg,38,19021,500.55263,0.10685
41.jpg,59,17793,301.57627,0.10229
42.jpg,214,67369,314.80841,0.12988
42.jpg,62,14561,234.85484,0.08472
42.jpg,64,23180,362.18750,0.13370
42.jpg,88,29625,336.64773,0.17080
43.jpg,32,5631,175.96875,0.01034
43.jpg,7,1379,197.00000,0.00772
43.jpg,8,984,123.00000,0.00530
43.jpg,17,3261,191.82353,0.01812
44.jpg,90,18758,208.42222,0.03492
44.jpg,16,3944,246.50000,0.02195
44.jpg,38,8536,224.63158,0.04750
44.jpg,36,6278,174.38889,0.03533
45.jpg,136,31677,232.91912,0.05977
45.jpg,39,9556,245.02564,0.05284
45.jpg,46,9901,215.23913,0.05408
45.jpg,51,12220,239.60784,0.07360
46.jpg,89,24177,271.65169,0.04530
46.jpg,21,5474,260.66667,0.03069
46.jpg,32,10703,334.46875,0.05957
46.jpg,36,8000,222.22222,0.04555
47.jpg,199,61360,308.34171,0.11736
47.jpg,56,16504,294.71429,0.09513
47.jpg,65,21254,326.98462,0.11940
47.jpg,79,23603,298.77215,0.13774
48.jpg,174,53835,309.39655,0.10594
48.jpg,61,15263,250.21311,0.09308
48.jpg,55,17768,323.05455,0.10371
48.jpg,58,20797,358.56897,0.12040
