num,Label,Area,PArea
1,01.jpg:4878-3558,50224902,0.16846
2,01.jpg:2178-3601,16665544,0.20022
3,01.jpg:4878-3551,17017762,0.16413
4,01.jpg:7578-3487,16536016,0.14083
5,02.jpg:4926-3666,41283300,0.26804
6,02.jpg:2210-3623,10826678,0.26185
7,02.jpg:4926-3675,16174027,0.23103
8,02.jpg:7642-3487,14281307,0.31464
9,03.jpg:4674-3744,49129400,0.35023
10,03.jpg:1878-3732,16568751,0.34144
11,03.jpg:4674-3744,15657230,0.34434
12,03.jpg:7470-3756,16911609,0.36511
13,04.jpg:4632-3763,51128742,0.26073
14,04.jpg:1848-3763,17530897,0.24891
15,04.jpg:4632-3784,16751417,0.26276
16,04.jpg:7416-3781,16851577,0.27108
17,05.jpg:4680-3738,49848132,0.12416
18,05.jpg:1904-3766,16130133,0.14900
19,05.jpg:4680-3747,16585542,0.10848
20,05.jpg:7456-3730,17141833,0.11593
21,06.jpg:4722-3780,50436615,0.09540
22,06.jpg:1934-3814,15772181,0.11560
23,06.jpg:4722-3799,17156980,0.08047
24,06.jpg:7510-3756,17515394,0.09188
25,07.jpg:4614-3774,47566958,0.18416
26,07.jpg:1818-3862,14294642,0.15881
27,07.jpg:4614-3796,16996774,0.12856
28,07.jpg:7410-3774,16279892,0.26457
29,08.jpg:4926-3846,52268444,0.13177
30,08.jpg:2106-3797,17583095,0.12908
31,08.jpg:4926-3880,17779174,0.13351
32,08.jpg:7746-3906,16913667,0.13267
33,09.jpg:4734-3666,51889967,0.18592
34,09.jpg:1970-3678,17101611,0.17490
35,09.jpg:4734-3645,17532930,0.16728
36,09.jpg:7498-3611,17261910,0.21568
37,10.jpg:4704-3690,41739406,0.34117
38,10.jpg:1880-3324,12656296,0.25479
39,10.jpg:4704-2672,12304500,0.31429
40,10.jpg:7528-3690,16783530,0.42622
41,11.jpg:4638-3570,53088691,0.29816
42,11.jpg:1842-3606,17550607,0.23438
43,11.jpg:4638-3580,17800065,0.23925
44,11.jpg:7434-3554,17744548,0.42025
45,12.jpg:4674-3786,52274826,0.25143
46,12.jpg:1862-3826,17196113,0.19650
47,12.jpg:4674-3802,17512036,0.22318
48,12.jpg:7486-3778,17568413,0.33337
49,13.jpg:4854-3837,52053763,0.24408
50,13.jpg:2074-3852,17256091,0.27061
51,13.jpg:4854-3804,17743371,0.15332
52,13.jpg:7634-3785,17072836,0.31124
53,14.jpg:4884-3786,50883477,0.49794
54,14.jpg:2108-3746,16747388,0.39025
55,14.jpg:4884-3774,16449725,0.46851
56,14.jpg:7660-3802,17687243,0.62770
57,15.jpg:4650-3846,50476981,0.38348
58,15.jpg:1846-3825,14871923,0.26301
59,15.jpg:4650-3861,18149948,0.46426
60,15.jpg:7454-3903,17458609,0.40202
61,16.jpg:4668-3828,53155873,0.08918
62,16.jpg:1868-3816,17785900,0.08643
63,16.jpg:4668-3824,17808217,0.08407
64,16.jpg:7468-3832,17565861,0.09722
65,17.jpg:4746-3738,53130731,0.17701
66,17.jpg:1966-3785,17602603,0.15105
67,17.jpg:4746-3718,17950879,0.18944
68,17.jpg:7526-3650,17574358,0.18978
69,18.jpg:4608-3738,53187852,0.22153
70,18.jpg:1784-3710,17709946,0.26097
71,18.jpg:4608-3728,17845804,0.19323
72,18.jpg:7432-3746,17639589,0.21123
73,19.jpg:4560-3684,52092720,0.12652
74,19.jpg:1784-3664,17613396,0.11807
75,19.jpg:4560-3730,17438636,0.11371
76,19.jpg:7336-3796,17039481,0.14810
77,20.jpg:4614-3834,51683406,0.14291
78,20.jpg:1810-3834,17004194,0.14374
79,20.jpg:4614-3847,17415280,0.12950
80,20.jpg:7418-3862,17264366,0.15562
81,21.jpg:4668-3648,51729053,0.20177
82,21.jpg:1876-3636,17292228,0.15916
83,21.jpg:4668-3665,17306509,0.14488
84,21.jpg:7460-3696,17134343,0.30208
85,22.jpg:4668-3696,51933180,0.05460
86,22.jpg:1924-3732,17261291,0.05741
87,22.jpg:4668-3710,17338083,0.05521
88,22.jpg:7412-3688,17341663,0.05118
89,23.jpg:4740-3936,50746464,0.06001
90,23.jpg:1964-3908,16846214,0.05354
91,23.jpg:4740-3922,17035793,0.06449
92,23.jpg:7516-3936,16854302,0.06198
93,24.jpg:4734-3780,49713811,0.06916
94,24.jpg:1938-3728,16752622,0.06527
95,24.jpg:4734-3761,16734348,0.07340
96,24.jpg:7530-3796,16221163,0.06841
97,25.jpg:4728-3936,51064122,0.03620
98,25.jpg:1904-3960,17208164,0.03794
99,25.jpg:4728-3920,17546775,0.04236
100,25.jpg:7552-3880,16314950,0.02705
101,26.jpg:4824-3714,47247408,0.04020
102,26.jpg:2024-3765,15790739,0.05050
103,26.jpg:4824-3709,16178219,0.03638
104,26.jpg:7624-3654,15278666,0.03362
105,27.jpg:4716-3642,52081477,0.03956
106,27.jpg:1876-3673,17878350,0.03469
107,27.jpg:4716-3624,17107979,0.04829
108,27.jpg:7556-3568,17088359,0.03574
109,28.jpg:4836-3684,50802323,0.03337
110,28.jpg:1980-3687,16391679,0.04086
111,28.jpg:4836-3678,17945508,0.02675
112,28.jpg:7692-3684,16475576,0.03310
113,29.jpg:4824-3804,51053196,0.07570
114,29.jpg:2040-3834,17441400,0.08191
115,29.jpg:4824-3896,16718628,0.07268
116,29.jpg:7608-3736,16892573,0.07226
117,30.jpg:4614-3612,49633146,0.04192
118,30.jpg:1858-3672,16372456,0.03595
119,30.jpg:4614-3638,16279723,0.04165
120,30.jpg:7370-3604,16969652,0.04785
121,31.jpg:4800-3852,53255593,0.04280
122,31.jpg:2000-3824,17412644,0.04038
123,31.jpg:4800-3838,17922299,0.04103
124,31.jpg:7600-3852,17911902,0.04694
125,32.jpg:4746-3780,51262338,0.06333
126,32.jpg:1966-3744,16495524,0.07345
127,32.jpg:4746-3762,17291307,0.06049
128,32.jpg:7526-3780,17459003,0.05660
129,33.jpg:4674-3738,51282942,0.04850
130,33.jpg:1926-3722,17038008,0.02854
131,33.jpg:4674-3754,17178957,0.07240
132,33.jpg:7422-3785,17056016,0.04438
133,34.jpg:4752-3738,51924240,0.03810
134,34.jpg:2008-3790,17305547,0.03764
135,34.jpg:4752-3738,17384299,0.03225
136,34.jpg:7496-3686,17234930,0.04436
137,35.jpg:4860-3864,50664201,0.10931
138,35.jpg:2124-3872,16707691,0.09317
139,35.jpg:4860-3868,17134839,0.08761
140,35.jpg:7596-3864,16842857,0.14740
141,36.jpg:4734-3924,50416572,0.04350
142,36.jpg:2034-3931,16816780,0.05040
143,36.jpg:4734-3928,16879085,0.03670
144,36.jpg:7434-3924,16716075,0.04343
145,37.jpg:4662-3828,49534293,0.05659
146,37.jpg:1938-3844,16742191,0.04908
147,37.jpg:4662-3820,16299596,0.05289
148,37.jpg:7386-3796,16494475,0.06786
149,38.jpg:4692-3642,51640020,0.05226
150,38.jpg:1940-3726,16971123,0.06404
151,38.jpg:4692-3672,17287419,0.04614
152,38.jpg:7444-3618,17378667,0.04674
153,39.jpg:4686-3654,51148067,0.02734
154,39.jpg:1954-3670,17113678,0.01720
155,39.jpg:4686-3640,17168737,0.02409
156,39.jpg:7418-3610,16856657,0.04095
157,40.jpg:4716-3816,50978645,0.04893
158,40.jpg:1996-3816,17179582,0.04796
159,40.jpg:4716-3820,17004188,0.04690
160,40.jpg:7436-3824,16765845,0.05205
161,41.jpg:4698-3630,52595774,0.18911
162,41.jpg:1934-3630,17499532,0.17244
163,41.jpg:4698-3627,17600938,0.22308
164,41.jpg:7462-3626,17510726,0.17170
165,42.jpg:4746-3678,51726653,0.29199
166,42.jpg:2014-3710,17166312,0.30990
167,42.jpg:4746-3680,17294427,0.30373
168,42.jpg:7478-3650,17270774,0.26233
169,43.jpg:4608-3798,52278480,0.09477
170,43.jpg:1848-3762,17096012,0.07931
171,43.jpg:4608-3793,17656856,0.07979
172,43.jpg:7368-3826,17527352,0.12494
173,44.jpg:4512-3858,51356739,0.10223
174,44.jpg:1680-3791,16743143,0.10386
175,44.jpg:4512-3842,17616928,0.10164
176,44.jpg:7344-3893,16998300,0.10125
177,45.jpg:4602-3816,47364283,0.13370
178,45.jpg:1894-3768,15506265,0.12450
179,45.jpg:4602-3504,15128856,0.13337
180,45.jpg:7310-3828,16735061,0.14262
181,46.jpg:4614-3714,47077190,0.10870
182,46.jpg:1882-3621,14918519,0.11241
183,46.jpg:4614-3696,14982428,0.11748
184,46.jpg:7346-3714,17171479,0.09784
185,47.jpg:4644-3828,51085872,0.29186
186,47.jpg:1924-3828,17051818,0.26461
187,47.jpg:4644-3847,17109684,0.33660
188,47.jpg:7364-3867,16934357,0.27394
189,48.jpg:4572-3792,51535396,0.33133
190,48.jpg:1772-3799,17314703,0.30099
191,48.jpg:4572-3795,16328074,0.45411
192,48.jpg:7372-3792,17881928,0.24795
