Slice,Count,Total Area,Average Size,%Area
01.jpg,8,3772,471.50000,0.00778
01.jpg,1,332,332.00000,0.00217
01.jpg,4,2211,552.75000,0.01329
01.jpg,3,1229,409.66667,0.00743
02.jpg,6,2846,474.33333,0.00567
02.jpg,2,1242,621.00000,0.00743
02.jpg,1,457,457.00000,0.00268
02.jpg,3,1147,382.33333,0.00697
03.jpg,6,5184,864.00000,0.01011
03.jpg,3,2110,703.33333,0.01189
03.jpg,1,2054,2054.00000,0.01203
03.jpg,2,1020,510.00000,0.00619
04.jpg,4,9495,2373.75000,0.01835
04.jpg,1,7399,7399.00000,0.04378
04.jpg,1,1365,1365.00000,0.00786
04.jpg,2,731,365.50000,0.00418
05.jpg,3,1331,443.66667,0.00274
05.jpg,2,981,490.50000,0.00608
05.jpg,0,0,NaN,0.00000
05.jpg,1,350,350.00000,0.00222
06.jpg,7,2803,400.42857,0.00542
06.jpg,2,729,364.50000,0.00430
06.jpg,4,1759,439.75000,0.00998
06.jpg,1,315,315.00000,0.00184
07.jpg,2,708,354.00000,0.00139
07.jpg,1,366,366.00000,0.00219
07.jpg,0,0,NaN,0.00000
07.jpg,1,342,342.00000,0.00202
08.jpg,6,2921,486.83333,0.00567
08.jpg,4,1555,388.75000,0.00907
08.jpg,2,1366,683.00000,0.00790
08.jpg,0,0,NaN,0.00000
09.jpg,8,3416,427.00000,0.00683
09.jpg,1,512,512.00000,0.00314
09.jpg,4,1524,381.00000,0.00900
09.jpg,3,1380,460.00000,0.00824
10.jpg,6,2325,387.50000,0.00458
10.jpg,0,0,NaN,0.00000
10.jpg,1,441,441.00000,0.00259
10.jpg,5,1884,376.80000,0.01120
11.jpg,3,1117,372.33333,0.00230
11.jpg,0,0,NaN,0.00000
11.jpg,0,0,NaN,0.00000
11.jpg,3,1117,372.33333,0.00684
12.jpg,9,9140,1015.55556,0.01919
12.jpg,5,6910,1382.00000,0.04252
12.jpg,2,1019,509.50000,0.00625
12.jpg,2,1211,605.50000,0.00802
13.jpg,11,8258,750.72727,0.01627
13.jpg,4,3495,873.75000,0.01989
13.jpg,3,1443,481.00000,0.00842
13.jpg,4,3320,830.00000,0.02067
14.jpg,13,15477,1190.53846,0.02968
14.jpg,2,858,429.00000,0.00488
14.jpg,6,10396,1732.66667,0.05914
14.jpg,5,4223,844.60000,0.02484
15.jpg,15,12119,807.93333,0.02366
15.jpg,2,680,340.00000,0.00408
15.jpg,6,3121,520.16667,0.01791
15.jpg,7,8211,1173.00000,0.04793
16.jpg,9,5913,657.00000,0.01210
16.jpg,1,361,361.00000,0.00216
16.jpg,5,3779,755.80000,0.02203
16.jpg,3,1773,591.00000,0.01182
17.jpg,11,6815,619.54545,0.01298
17.jpg,6,2530,421.66667,0.01467
17.jpg,3,2279,759.66667,0.01268
17.jpg,2,2006,1003.00000,0.01161
18.jpg,14,12111,865.07143,0.02511
18.jpg,1,370,370.00000,0.00232
18.jpg,3,982,327.33333,0.00598
18.jpg,10,10825,1082.50000,0.06822
19.jpg,6,4362,727.00000,0.00866
19.jpg,2,980,490.00000,0.00582
19.jpg,2,2238,1119.00000,0.01342
19.jpg,2,1144,572.00000,0.00679
20.jpg,8,3582,447.75000,0.00714
20.jpg,1,327,327.00000,0.00196
20.jpg,0,0,NaN,0.00000
20.jpg,7,3255,465.00000,0.01982
21.jpg,7,3182,454.57143,0.00614
21.jpg,2,632,316.00000,0.00373
21.jpg,4,2055,513.75000,0.01186
21.jpg,1,495,495.00000,0.00282
22.jpg,12,5078,423.16667,0.01000
22.jpg,7,2844,406.28571,0.01659
22.jpg,2,991,495.50000,0.00579
22.jpg,3,1243,414.33333,0.00751
23.jpg,7,2823,403.28571,0.00580
23.jpg,3,1332,444.00000,0.00801
23.jpg,3,1006,335.33333,0.00591
23.jpg,1,485,485.00000,0.00322
24.jpg,9,3577,397.44444,0.00712
24.jpg,2,695,347.50000,0.00413
24.jpg,1,326,326.00000,0.00193
24.jpg,6,2556,426.00000,0.01552
25.jpg,2,1116,558.00000,0.00224
25.jpg,1,779,779.00000,0.00473
25.jpg,1,337,337.00000,0.00203
25.jpg,0,0,NaN,0.00000
26.jpg,6,5418,903.00000,0.01046
26.jpg,3,1157,385.66667,0.00677
26.jpg,3,4261,1420.33333,0.02427
26.jpg,0,0,NaN,0.00000
27.jpg,6,2604,434.00000,0.00511
27.jpg,4,1782,445.50000,0.01054
27.jpg,0,0,NaN,0.00000
27.jpg,2,822,411.00000,0.00485
28.jpg,3,1226,408.66667,0.00233
28.jpg,0,0,NaN,0.00000
28.jpg,2,889,444.50000,0.00500
28.jpg,1,337,337.00000,0.00192
29.jpg,5,6183,1236.60000,0.01205
29.jpg,2,3466,1733.00000,0.02058
29.jpg,2,1728,864.00000,0.00994
29.jpg,1,989,989.00000,0.00579
30.jpg,6,2939,489.83333,0.00591
30.jpg,1,507,507.00000,0.00312
30.jpg,3,1088,362.66667,0.00647
30.jpg,2,1344,672.00000,0.00806
31.jpg,4,2246,561.50000,0.00429
31.jpg,1,948,948.00000,0.00544
31.jpg,1,471,471.00000,0.00267
31.jpg,2,827,413.50000,0.00479
32.jpg,3,1144,381.33333,0.00223
