Slice,Count,Total Area,Average Size,%Area
01.jpg,11,8222,747.45455,0.01548
01.jpg,2,1896,948.00000,0.01069
01.jpg,0,0,NaN,0.00000
01.jpg,9,6326,702.88889,0.03589
02.jpg,5,2307,461.40000,0.00442
02.jpg,1,367,367.00000,0.00212
02.jpg,0,0,NaN,0.00000
02.jpg,4,1940,485.00000,0.01123
03.jpg,11,11145,1013.18182,0.02097
03.jpg,4,5470,1367.50000,0.03086
03.jpg,4,2908,727.00000,0.01626
03.jpg,3,2767,922.33333,0.01576
04.jpg,7,3250,464.28571,0.00608
04.jpg,2,703,351.50000,0.00393
04.jpg,4,1810,452.50000,0.01007
04.jpg,1,737,737.00000,0.00420
05.jpg,5,1896,379.20000,0.00366
05.jpg,1,408,408.00000,0.00236
05.jpg,3,1150,383.33333,0.00669
05.jpg,1,338,338.00000,0.00195
06.jpg,3,1269,423.00000,0.00239
06.jpg,2,661,330.50000,0.00375
06.jpg,1,608,608.00000,0.00342
06.jpg,0,0,NaN,0.00000
07.jpg,2,714,357.00000,0.00137
07.jpg,1,362,362.00000,0.00207
07.jpg,1,352,352.00000,0.00202
07.jpg,0,0,NaN,0.00000
08.jpg,7,2721,388.71429,0.00511
08.jpg,2,855,427.50000,0.00481
08.jpg,3,1232,410.66667,0.00688
08.jpg,2,634,317.00000,0.00360
09.jpg,7,3709,529.85714,0.00722
09.jpg,0,0,NaN,0.00000
09.jpg,2,949,474.50000,0.00550
09.jpg,5,2760,552.00000,0.01627
10.jpg,6,3732,622.00000,0.00722
10.jpg,1,577,577.00000,0.00332
10.jpg,3,2240,746.66667,0.01303
10.jpg,2,915,457.50000,0.00534
11.jpg,6,2287,381.16667,0.00441
11.jpg,0,0,NaN,0.00000
11.jpg,4,1565,391.25000,0.00896
11.jpg,2,722,361.00000,0.00422
12.jpg,5,3513,702.60000,0.00675
12.jpg,0,0,NaN,0.00000
12.jpg,1,1131,1131.00000,0.00642
12.jpg,4,2382,595.50000,0.01394
13.jpg,12,5472,456.00000,0.01059
13.jpg,3,1329,443.00000,0.00761
13.jpg,5,2263,452.60000,0.01327
13.jpg,4,1880,470.00000,0.01095
14.jpg,18,9530,529.44444,0.01914
14.jpg,5,2007,401.40000,0.01162
14.jpg,3,1366,455.33333,0.00832
14.jpg,10,6157,615.70000,0.03827
15.jpg,37,33267,899.10811,0.06501
15.jpg,13,9743,749.46154,0.05430
15.jpg,9,6539,726.55556,0.03853
15.jpg,14,16487,1177.64286,0.10153
16.jpg,18,7638,424.33333,0.01454
16.jpg,2,877,438.50000,0.00502
16.jpg,9,3359,373.22222,0.01893
16.jpg,7,3402,486.00000,0.01969
17.jpg,9,4858,539.77778,0.01079
17.jpg,3,1974,658.00000,0.01211
17.jpg,2,1087,543.50000,0.00759
17.jpg,4,1797,449.25000,0.01248
18.jpg,17,11770,692.35294,0.02343
18.jpg,9,4943,549.22222,0.02826
18.jpg,5,3499,699.80000,0.02060
18.jpg,4,3328,832.00000,0.02115
19.jpg,11,5572,506.54545,0.01161
19.jpg,2,674,337.00000,0.00388
19.jpg,3,985,328.33333,0.00595
19.jpg,6,3913,652.16667,0.02777
20.jpg,15,15194,1012.93333,0.03030
20.jpg,2,8283,4141.50000,0.04933
20.jpg,5,3192,638.40000,0.01882
20.jpg,8,3698,462.25000,0.02260
21.jpg,20,9735,486.75000,0.01956
21.jpg,1,506,506.00000,0.00291
21.jpg,7,2736,390.85714,0.01614
21.jpg,11,6156,559.63636,0.03990
22.jpg,9,5336,592.88889,0.01049
22.jpg,2,857,428.50000,0.00481
22.jpg,3,1516,505.33333,0.00891
22.jpg,4,2963,740.75000,0.01846
23.jpg,9,3240,360.00000,0.00637
23.jpg,5,1791,358.20000,0.01058
23.jpg,2,664,332.00000,0.00387
23.jpg,2,785,392.50000,0.00468
24.jpg,10,4980,498.00000,0.01022
24.jpg,3,2169,723.00000,0.01224
24.jpg,4,1798,449.50000,0.01069
24.jpg,3,1013,337.66667,0.00715
25.jpg,7,6496,928.00000,0.01247
25.jpg,2,1419,709.50000,0.00808
25.jpg,3,1590,530.00000,0.00901
25.jpg,2,3487,1743.50000,0.02066
26.jpg,2,1896,948.00000,0.00354
26.jpg,0,0,NaN,0.00000
26.jpg,1,1575,1575.00000,0.00860
26.jpg,1,321,321.00000,0.00176
27.jpg,5,2368,473.60000,0.00479
27.jpg,2,813,406.50000,0.00471
27.jpg,0,0,NaN,0.00000
27.jpg,3,1555,518.33333,0.01062
28.jpg,2,702,351.00000,0.00135
28.jpg,2,702,351.00000,0.00390
28.jpg,0,0,NaN,0.00000
28.jpg,0,0,NaN,0.00000
29.jpg,5,2985,597.00000,0.00572
29.jpg,2,1097,548.50000,0.00639
29.jpg,0,0,NaN,0.00000
