Slice,Count,Total Area,Average Size,%Area
01.jpg,93,20682,222.38710,0.03872
01.jpg,19,4880,256.84211,0.02744
01.jpg,40,9510,237.75000,0.05314
01.jpg,34,6292,185.05882,0.03546
02.jpg,80,17997,224.96250,0.03291
02.jpg,35,8430,240.85714,0.04685
02.jpg,25,6042,241.68000,0.03290
02.jpg,20,3523,176.15000,0.01923
03.jpg,66,11889,180.13636,0.02272
03.jpg,4,660,165.00000,0.00382
03.jpg,29,5500,189.65517,0.03119
03.jpg,33,5729,173.60606,0.03287
04.jpg,62,11012,177.61290,0.02096
04.jpg,19,3513,184.89474,0.02040
04.jpg,17,2885,169.70588,0.01640
04.jpg,26,4614,177.46154,0.02606
05.jpg,116,29264,252.27586,0.05683
05.jpg,36,9816,272.66667,0.05801
05.jpg,42,11102,264.33333,0.06431
05.jpg,38,8329,219.18421,0.04815
06.jpg,119,28163,236.66387,0.05517
06.jpg,46,10435,226.84783,0.06182
06.jpg,41,8136,198.43902,0.04722
06.jpg,31,9494,306.25806,0.05603
07.jpg,166,70965,427.50000,0.16011
07.jpg,42,14116,336.09524,0.09598
07.jpg,63,27648,438.85714,0.18400
07.jpg,61,29201,478.70492,0.20004
08.jpg,169,53414,316.05917,0.10492
08.jpg,51,17041,334.13725,0.09889
08.jpg,52,17821,342.71154,0.10446
08.jpg,66,18552,281.09091,0.11160
09.jpg,184,65844,357.84783,0.12755
09.jpg,67,25871,386.13433,0.14930
09.jpg,59,18498,313.52542,0.10751
09.jpg,58,21326,367.68966,0.12489
10.jpg,375,197838,527.56800,0.37450
10.jpg,105,66162,630.11429,0.37437
10.jpg,136,70185,516.06618,0.39618
10.jpg,137,61296,447.41606,0.35129
11.jpg,310,177516,572.63226,0.35060
11.jpg,78,49465,634.16667,0.28946
11.jpg,106,67412,635.96226,0.39733
11.jpg,127,60626,477.37008,0.36557
12.jpg,269,127388,473.56134,0.24703
12.jpg,93,45421,488.39785,0.26386
12.jpg,85,31206,367.12941,0.17997
12.jpg,91,50699,557.13187,0.29811
13.jpg,244,149059,610.89754,0.29352
13.jpg,92,50019,543.68478,0.29722
13.jpg,72,46820,650.27778,0.27469
13.jpg,80,52204,652.55000,0.30858
14.jpg,247,202148,818.41296,0.39268
14.jpg,76,56650,745.39474,0.32785
14.jpg,80,64580,807.25000,0.37403
14.jpg,92,81020,880.65217,0.47799
15.jpg,289,289105,1000.36332,0.56190
15.jpg,100,98688,986.88000,0.57976
15.jpg,102,118972,1166.39216,0.67944
15.jpg,90,71725,796.94444,0.42375
16.jpg,111,44017,396.54955,0.09063
16.jpg,32,12298,384.31250,0.07604
16.jpg,38,13791,362.92105,0.08452
16.jpg,42,17916,426.57143,0.11137
17.jpg,156,67247,431.07051,0.13108
17.jpg,57,27731,486.50877,0.16002
17.jpg,60,22967,382.78333,0.13373
17.jpg,39,16444,421.64103,0.09791
18.jpg,158,99461,629.50000,0.20521
18.jpg,45,34806,773.46667,0.24161
18.jpg,50,22771,455.42000,0.13382
18.jpg,63,41829,663.95238,0.24551
19.jpg,151,52891,350.27152,0.11344
19.jpg,57,19360,339.64912,0.12961
19.jpg,48,16107,335.56250,0.10069
19.jpg,46,17432,378.95652,0.11110
20.jpg,123,49423,401.81301,0.09717
20.jpg,45,16661,370.24444,0.09807
20.jpg,44,20779,472.25000,0.12078
20.jpg,35,11974,342.11429,0.07184
21.jpg,137,32927,240.34307,0.06171
21.jpg,36,6913,192.02778,0.03871
21.jpg,51,15224,298.50980,0.08456
21.jpg,50,10708,214.16000,0.06119
22.jpg,141,69306,491.53191,0.13114
22.jpg,22,4190,190.45455,0.02376
22.jpg,66,26212,397.15152,0.14816
22.jpg,54,38896,720.29630,0.22200
23.jpg,239,108854,455.45607,0.20927
23.jpg,66,29958,453.90909,0.17200
23.jpg,92,37608,408.78261,0.21533
23.jpg,81,41227,508.97531,0.24060
24.jpg,156,53578,343.44872,0.10534
24.jpg,44,15346,348.77273,0.08968
24.jpg,54,19262,356.70370,0.11215
24.jpg,59,18898,320.30508,0.11403
25.jpg,122,34544,283.14754,0.06882
25.jpg,51,14720,288.62745,0.08857
25.jpg,36,9373,260.36111,0.05594
25.jpg,35,10473,299.22857,0.06228
26.jpg,90,28599,317.76667,0.05730
26.jpg,29,10880,375.17241,0.06788
26.jpg,26,8133,312.80769,0.04746
26.jpg,35,9431,269.45714,0.05629
27.jpg,93,24657,265.12903,0.04960
27.jpg,35,7814,223.25714,0.04799
27.jpg,29,10432,359.72414,0.05968
27.jpg,29,6411,221.06897,0.04026
28.jpg,110,40740,370.36364,0.08061
28.jpg,23,5389,234.30435,0.03182
28.jpg,56,18212,325.21429,0.10591
28.jpg,31,17145,553.06452,0.10450
29.jpg,13,3015,231.92308,0.00574
29.jpg,3,526,175.33333,0.00310
29.jpg,5,1558,311.60000,0.00867
29.jpg,5,931,186.20000,0.00528
30.jpg,44,10105,229.65909,0.01910
