Slice,Count,Total Area,Average Size,PArea
45.jpg,110,22500,204.54545,0.12799
45.jpg,109,14722,135.06422,0.08064
45.jpg,126,20523,162.88095,0.11305
46.jpg,346,77356,223.57225,0.14667
46.jpg,106,23928,225.73585,0.13838
46.jpg,129,27691,214.65891,0.15522
46.jpg,111,25689,231.43243,0.14588
47.jpg,384,95078,247.59896,0.18307
47.jpg,111,25487,229.61261,0.15142
47.jpg,134,26700,199.25373,0.15133
47.jpg,139,42898,308.61871,0.24590
48.jpg,508,157158,309.36614,0.29883
48.jpg,176,41895,238.03977,0.24373
48.jpg,162,49314,304.40741,0.27721
48.jpg,173,65946,381.19075,0.37419
