Slice,Count,Total Area,Average Size,PArea
01.jpg,184,27269,148.20109,0.05105
01.jpg,49,7125,145.40816,0.04007
01.jpg,74,11859,160.25676,0.06626
01.jpg,61,8283,135.78689,0.04668
02.jpg,190,25625,134.86842,0.04685
02.jpg,65,10544,162.21538,0.05859
02.jpg,56,8092,144.50000,0.04407
02.jpg,69,6997,101.40580,0.03820
03.jpg,170,19159,112.70000,0.03662
03.jpg,39,3064,78.56410,0.01774
03.jpg,60,7638,127.30000,0.04332
03.jpg,71,8457,119.11268,0.04852
04.jpg,158,17592,111.34177,0.03349
04.jpg,57,6137,107.66667,0.03565
04.jpg,51,5147,100.92157,0.02925
04.jpg,50,6308,126.16000,0.03562
05.jpg,217,36560,168.47926,0.07100
05.jpg,66,11960,181.21212,0.07068
05.jpg,79,13866,175.51899,0.08033
05.jpg,72,10696,148.55556,0.06184
06.jpg,218,35217,161.54587,0.06898
06.jpg,80,12933,161.66250,0.07662
06.jpg,78,10776,138.15385,0.06254
06.jpg,60,11504,191.73333,0.06789
07.jpg,281,79153,281.68327,0.17858
07.jpg,80,16831,210.38750,0.11444
07.jpg,110,30957,281.42727,0.20602
07.jpg,91,31351,344.51648,0.21477
08.jpg,298,62503,209.74161,0.12278
08.jpg,94,19933,212.05319,0.11567
08.jpg,92,20585,223.75000,0.12066
08.jpg,112,21977,196.22321,0.13220
09.jpg,350,77081,220.23143,0.14932
09.jpg,129,30168,233.86047,0.17409
09.jpg,114,22210,194.82456,0.12909
09.jpg,109,24681,226.43119,0.14454
10.jpg,593,213047,359.26981,0.40329
10.jpg,187,71569,382.72193,0.40497
10.jpg,207,75352,364.01932,0.42535
10.jpg,203,66006,325.15271,0.37828
11.jpg,497,190397,383.09256,0.37605
11.jpg,131,53107,405.39695,0.31078
11.jpg,174,72086,414.28736,0.42488
11.jpg,193,65191,337.77720,0.39310
12.jpg,465,140970,303.16129,0.27337
12.jpg,169,50576,299.26627,0.29381
12.jpg,136,34921,256.77206,0.20140
12.jpg,161,55481,344.60248,0.32623
13.jpg,355,156940,442.08451,0.30904
13.jpg,124,52389,422.49194,0.31130
13.jpg,112,49510,442.05357,0.29047
13.jpg,120,55083,459.02500,0.32560
14.jpg,342,208686,610.19298,0.40538
14.jpg,113,59178,523.69912,0.34248
14.jpg,113,66910,592.12389,0.38753
14.jpg,117,82700,706.83761,0.48791
15.jpg,377,295482,783.77188,0.57429
15.jpg,146,101982,698.50685,0.59911
15.jpg,125,120626,965.00800,0.68889
15.jpg,111,73270,660.09009,0.43288
16.jpg,182,49121,269.89560,0.10114
16.jpg,62,14410,232.41935,0.08910
16.jpg,59,15310,259.49153,0.09383
16.jpg,62,19389,312.72581,0.12053
17.jpg,259,74611,288.07336,0.14543
17.jpg,95,30373,319.71579,0.17526
17.jpg,96,25659,267.28125,0.14941
17.jpg,68,18474,271.67647,0.10999
18.jpg,246,105487,428.80894,0.21765
18.jpg,78,37081,475.39744,0.25740
18.jpg,74,24388,329.56757,0.14332
18.jpg,94,43963,467.69149,0.25804
19.jpg,227,58205,256.40969,0.12483
19.jpg,91,21741,238.91209,0.14556
19.jpg,65,17367,267.18462,0.10857
19.jpg,71,19105,269.08451,0.12177
20.jpg,227,56772,250.09692,0.11162
20.jpg,78,19064,244.41026,0.11222
20.jpg,83,23500,283.13253,0.13660
20.jpg,67,14196,211.88060,0.08517
21.jpg,332,46282,139.40361,0.08674
21.jpg,93,10837,116.52688,0.06069
21.jpg,122,19969,163.68033,0.11091
21.jpg,118,15476,131.15254,0.08844
22.jpg,299,80402,268.90301,0.15214
22.jpg,65,7118,109.50769,0.04036
22.jpg,120,30159,251.32500,0.17048
22.jpg,115,43117,374.93043,0.24609
23.jpg,508,127404,250.79528,0.24493
23.jpg,137,34861,254.45985,0.20015
23.jpg,171,43123,252.18129,0.24690
23.jpg,202,49469,244.89604,0.28870
24.jpg,340,66507,195.60882,0.13076
24.jpg,107,19724,184.33645,0.11526
24.jpg,120,24080,200.66667,0.14020
24.jpg,115,22678,197.20000,0.13684
25.jpg,193,39657,205.47668,0.07901
25.jpg,76,16463,216.61842,0.09906
25.jpg,56,10917,194.94643,0.06515
25.jpg,61,12299,201.62295,0.07314
26.jpg,188,35321,187.87766,0.07076
26.jpg,61,13136,215.34426,0.08196
26.jpg,58,10222,176.24138,0.05965
26.jpg,71,11951,168.32394,0.07133
27.jpg,175,30497,174.26857,0.06135
27.jpg,62,9804,158.12903,0.06022
27.jpg,55,12244,222.61818,0.07004
27.jpg,58,8449,145.67241,0.05305
28.jpg,183,45844,250.51366,0.09071
28.jpg,46,6995,152.06522,0.04131
28.jpg,79,19812,250.78481,0.11521
28.jpg,57,18965,332.71930,0.11559
29.jpg,54,5861,108.53704,0.01115
29.jpg,20,1652,82.60000,0.00974
29.jpg,12,2012,167.66667,0.01119
29.jpg,22,2197,99.86364,0.01246
30.jpg,104,14134,135.90385,0.02672
30.jpg,41,7768,189.46341,0.04484
30.jpg,31,3215,103.70968,0.01776
30.jpg,32,3150,98.43750,0.01804
31.jpg,105,11016,104.91429,0.02123
31.jpg,31,3900,125.80645,0.02230
31.jpg,41,3722,90.78049,0.02121
31.jpg,33,3394,102.84848,0.02013
32.jpg,149,23337,156.62416,0.04312
32.jpg,43,5560,129.30233,0.03169
32.jpg,39,6340,162.56410,0.03436
32.jpg,66,11384,172.48485,0.06286
33.jpg,316,61794,195.55063,0.12056
33.jpg,123,22809,185.43902,0.13447
33.jpg,120,22725,189.37500,0.13046
33.jpg,74,16196,218.86486,0.09587
34.jpg,332,81041,244.09940,0.15882
34.jpg,82,20732,252.82927,0.12857
34.jpg,133,29240,219.84962,0.16709
34.jpg,117,31069,265.54701,0.17849
35.jpg,343,89928,262.18076,0.17485
35.jpg,104,27433,263.77885,0.15979
35.jpg,116,35351,304.75000,0.20665
35.jpg,123,27138,220.63415,0.15807
36.jpg,325,73695,226.75385,0.14055
36.jpg,102,24015,235.44118,0.13669
36.jpg,119,22602,189.93277,0.12923
36.jpg,104,27109,260.66346,0.15607
37.jpg,247,52658,213.19028,0.10118
37.jpg,92,23900,259.78261,0.13815
37.jpg,71,13123,184.83099,0.07461
37.jpg,84,15630,186.07143,0.09126
38.jpg,117,25050,214.10256,0.04706
38.jpg,43,10461,243.27907,0.05950
38.jpg,40,9199,229.97500,0.05151
38.jpg,34,5390,158.52941,0.03028
39.jpg,156,28606,183.37179,0.05671
39.jpg,48,8054,167.79167,0.04869
39.jpg,60,10597,176.61667,0.06212
39.jpg,49,9935,202.75510,0.05894
40.jpg,232,50979,219.73707,0.09973
40.jpg,76,15189,199.85526,0.09081
40.jpg,66,13233,200.50000,0.07663
40.jpg,90,22568,250.75556,0.13182
41.jpg,276,70677,256.07609,0.14976
41.jpg,82,17194,209.68293,0.11797
41.jpg,102,20439,200.38235,0.12470
41.jpg,93,33039,355.25806,0.20360
42.jpg,244,83447,341.99590,0.16528
42.jpg,82,19692,240.14634,0.11681
42.jpg,73,33226,455.15068,0.19434
42.jpg,89,30516,342.87640,0.18443
43.jpg,184,32651,177.45109,0.06045
43.jpg,53,7213,136.09434,0.04075
43.jpg,66,14128,214.06061,0.07690
43.jpg,65,11157,171.64615,0.06227
44.jpg,176,27283,155.01705,0.05316
44.jpg,66,11504,174.30303,0.06882
44.jpg,48,5980,124.58333,0.03431
44.jpg,62,9756,157.35484,0.05677
45.jpg,344,57700,167.73256,0.10687
